MEDICAMENTO,COMPOSTO,LABORATORIO,LOTE,FABRICACAO,VALIDADE,QTD (CX)
OXOTRON,LOXOPROFENO SODICO 60MG,ACHE,221201,05/22,05/24,1
PIDOMAG FLAC,PIDOLATO DE MAGNESIO ,BALDACCI,EG03,-,07/24,2
PIETRA ED,DIENOGESTE 2MG,EUROFARMA,791721,05/22,05/24,1
PASALIX PI,PASSAFLORA INCARNATA L 500MG,MARJAN,R358,06/22,06/24,2
SELOZOK,SUCCINATO DE METOPROLOL 50 MG,ASTRAZENECA,57656,08/21,07/24,0
RILUZOL,RILUZOL 50MG GENERICO,SUS,2206003,06/22,06/24,1
STEATON ,SILYBUM MARIANUM 200MG,ACHE,2206784,06/22,06/24,14
SANY D CAPS,COLECALCIFEROL 5.000 UI,ACHE,534065,10/22,10/24,1
SUCRAFILM,SUCRALFATO 1G,EMS,366709,01/23,01/25,4
SOMALGIN CARDIO,SOMALGIN CARDIO 81MG,EMS,2R6321,01/22,01/25,8
SOMALGIN CARDIO,SOMALGIN CARDIO 81MG,EMS,3E0039,10/22,10/25,0
SOMALGIN CARDIO,SOMALGIN CARDIO 81MG,EMS,3E2487,10/22,10/25,0
SPASMEX,CLORETO DE TRÓSPIO 30MG,APSEN,83730,07/22,07/24,3
SPASMEX,CLORETO DE TRÓSPIO 30MG,APSEN,83307,07/22,07/24,1
PURAVIT ADE,SUPLEMENTO VITAMINICO 2ML,MYRALIS,537157,05/23,05/25,2
PRENI,PREDNISOLONA 40MG,EUROFARMA,804812,07/22,07/24,0
PRENI,PREDNISOLONA 40MG,EUROFARMA,804816,07/22,07/24,53
RUBIA,DESOGESTREL 75MG,ACHE,22070124,07/22,07/24,3
RIVAROXABANA,RIVAROXABANA 10MG,EMS,2N6551,08/21,08/23,0
RIVAXA,RIVAROXABANA 10MG,EUROFARMA,785149,03/22,03/24,4
TRAYENTA,LINAGLIPTINA 5MG,BOEHRINGER INGELHEIN,D76078,09/21,09/24,17
VECASTEN ,"MELILOTUS OFFICINALIS PALL 26,7 MG ",MARJAN,R717,09/22,09/24,2
VECASTEN ,"MELILOTUS OFFICINALIS PALL 26,7 MG ",MARJAN,R779,09/22,09/24,1
VECASTEN ,"MELILOTUS OFFICINALIS PALL 26,7 MG ",MARJAN,R398,06/22,06/24,2
GAMAX ,BORAGO OFFICINALIS 980MG ,HEBRON,2108109,08/21,08/24,2
VERTIZINE D,MESILATO DE DI-HIDROERGOCRISTINA DICLORIDRATO DE FLUNARIZINA  3/10 MG,ACHE,2202624,07/21,07/24,3
VERTIZINE D,MESILATO DE DI-HIDROERGOCRISTINA DICLORIDRATO DE FLUNARIZINA  3/10 MG,ACHE,2114627,12/21,12/24,1
VERTIZINE D,MESILATO DE DI-HIDROERGOCRISTINA DICLORIDRATO DE FLUNARIZINA  3/10 MG,ACHE,2204491,04/20,04/25,8
VESOMNI ,"SUCCINATO DE SOLIFENACINA/CLORIDRATO DE TANSULOSINA 6MG/0,4MG",ASTELLAS ,21K2636,11/21,11/24,2
ULTRAFER ,FERRIPOLIMALTOSE 100MG,FQM,221837,08/22,07/24,2
VAST,ATORVASTATINA CALCICA 40MG,EUROFARMA,08457,07/22,07/24,0
VARTAZ,VALSARTANA 80MG,EUROFARMA,756212,09/21,09/23,0
VASOGARD,CILOSTAZOL 50MG,ACHE,2108851,08/21,08/23,1
VABAM ,RIVAROXABANA 15MG,MANTECORP FARMASA,B22J0527,08/22,08/24,2
VABAM ,RIVAROXABANA 15MG,MANTECORP FARMASA,B22F1767,05/22,05/24,2
VABAM ,RIVAROXABANA 15MG,MANTECORP FARMASA,B21L1850,11/21,11/23,1
LIPANON,FENOFIBRATO 250MG,MANTECORP FARMASA,B22D1149,10/21,10/24,1
ATIVB,MECOBALAMINA 1000 MCG,BIOLAB,30201887,03/23,03/25,1
HOLMES,OLMESARTANA MEDOXOMILA 20MG,EUROFARMA,783770,03/22,03/24,0
TANTIN,"GESTODENO ETINILESTRADIOL 0,060/0,015MG ",BIOLAB,1074683,03/22,03/24,1
BRASART HCT,"VALSARTANA + HIDROCLOROTIAZIDA 320/12,5MG",EMS,2U4339,04/22,04/24,1
ONDASEDRONA,CLORIDRATO DE ONDANSETRONA DI-HIDRATO 8MG,BLAU FARMACEUTICA S.A,20110580,11/20,11/23,1
BUONA,GLYCINE MAX L MERR 150MG,MOMENTA,802963,07/22,07/24,1
VENALOT,CUMARINA TROXERRUTINA 15/90MG,COSMED ,527171,04/22,03/24,6
DEMI D ,COLECALCIFEROL D 50.000 UI,FQM,221265,05/22,05/24,0
BRASART HCT,"TELMISARTANA + HIDROCLORITIAZIDA 40/12,5MG ",EMS,2X6820,06/22,06/24,13
BRASART HCT,"TELMISARTANA + HIDROCLORITIAZIDA 40/12,5MG ",EMS,2W6461,06/22,06/24,5
BRASART HCT,"TELMISARTANA + HIDROCLORITIAZIDA 40/12,5MG ",EMS,2X6821,06/22,06/24,3
BRASART HCT,"TELMISARTANA + HIDROCLORITIAZIDA 40/12,5MG ",EMS,3G7501,11/22,11/24,5
BRASART HCT,"TELMISARTANA + HIDROCLORITIAZIDA 80/12,5MG ",EMS,3B3946,09/22,09/24,
VONAU FLASH ,ONDANSETRONA 8MG,BIOLAB,1073279,04/22,04/24,0
VONAU FLASH ,ONDANSETRONA 8MG,BIOLAB,1074359,05/22,05/24,28
VONAU FLASH ,ONDANSETRONA 8MG,BIOLAB,1066479,08/21,08/23,0
VONAU FLASH ,ONDANSETRONA 8MG,BIOLAB,1077465,07/22,07/24,25
ECASIL 81,ACIDO ACETILASLICILICO 81MG,BIOLAB ,1071096,07/22,07/24,27
ECASIL 81,ACIDO ACETILASLICILICO 81MG,BIOLAB,1077506,07/22,07/24,0
DARTRIAL,RIVAROXABANA 15MG,SUPERA,793806,05/22,05/24,1
DPREV ,COLECALCIFEROL 4.000 UI,MYRALIS,531675,09/22,09/24,23
RITMONORM,CLORIDRATO DE PROPAFENONA 300MG,ABBOTT,1184978,05/22,05/25,1
VALDOXAN,AGOMELATINA 25MG,SERVIER,3019809,09/22,09/25,2
QUICARD,DICLORIDRATO DE TRIMETAZIDINA 35MG,BRACEPHARMA,2X3934,06/22,06/24,0
TAMISA  15,"GESTODENO ETINILESTRADIOL 0,060/0,015MG ",EUROFARMA,1073102,02/24,02/24,2
PRIMOSITOSTON,"ACETATO DE NORETISTERONA 2MG ETINILESTRADIOL 0,01MG",GENOM,2239309,09-22,09-24,2
MANIVASC,DICLORIDRATI DE MANIDIPINO 10MG,CHIESI,1151969,03-22,03-25,4
MANIVASC,DICLORIDRATI DE MANIDIPINO 10MG,CHIESI,1134558,05-21,05-24,1
MANIVASC,DICLORIDRATI DE MANIDIPINO 10MG,CHIESI,1141320,10-21,10-24,1
NAPRIX A,RAMIPRIL + BESILATO DE ANLODIPINO 10MG=5MG,LIBBS,22I0275,08-22,08-24,8
NAPRIX A,RAMIPRIL + BESILATO DE ANLODIPINO 10MG=5MG,LIBBS,23B0424,02-23,02-25,2
ENDOFER,FERRIPOLIMALTOSE 100MG,BIOLAB,1074544,05-2022,02-24,16
PURAN T4,LEVOTRIROXINA,SANOFI,CRA03922,06-22,05-24,2
GENÉRICO,LOSARTANA POTÁSSICA 50MG,TEUTO,14184533,11-22,11-24,15
GENÉRICO,LOSARTANA POTÁSSICA 50MG,NEO QUÍMICA,B22J1106,09-22,09-24,0
LONIUM,BROMETO DE OTILÔNIO 40MG,APSEN,22070051,07-22,02-24,2
LONIUM,BROMETO DE OTILÔNIO 40MG,APSEN,22030450,03-22,03-24,1
LUMIER AOX,SUPLEMENTO ALIMENTAR,GENOM DERMA,2210153,03-22,03-24,-
LIXIANA ,EDOXABANA 60MG,DAIICHI-SANKYO,221724,05-22,05-26,5
LIXIANA ,EDOXABANA 30MG,DAIICHI-SANKYO,221109,03-22,03-26,14
LIXIANA ,EDOXABANA 60MG,DAIICHI-SANKYO,212961,09-21,09-25,1
LIXIANA ,EDOXABANA 30MG,DAIICHI-SANKYO,221915,07-22,07-26,5
LIXIANA ,EDOXABANA 60MG,DAIICHI-SANKYO,221110,04-22,04-26,8
LIXIANA ,EDOXABANA 60MG,DAIICHI-SANKYO,230116,08-22,08-26,2
VATIS ,CLORIDRATO DE PROPAFENONA 300MG,LIBBS,22G0372,07-22,07-24,4
VATIS ,CLORIDRATO DE PROPAFENONA 300MG,LIBBS,22F0151,05-22,05-24,13
VATIS ,CLORIDRATO DE PROPAFENONA 300MG,LIBBS,22I0053,08-22,08-24,4
VATIS ,CLORIDRATO DE PROPAFENONA 150MG,LIBBS,22F0276,05-24,05-24,5
VENZER,CANDERSARTANA CILEXETILA 8MG,LIBBS,22F0290,06-22,06-24,6
VENZER,"CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA 16MG + 12,5MG",LIBBS,22D0025,03-22,03-24,3
VATIS ,CLORIDRATO DE PROPAFENONA,LIBBS,22K0146,11-22,11-24,5
VENZER,CANDESARTANA CILEXETILA 8MG,LIBBS,22H0315,07-22,07-24,1
VENZER,CANDESARTANA CILEXETILA 16MG,LIBBS,22H01316,08-22,08-24,2
VENZER HCT,"CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA 16MG + 12,5MG",LIBBS,22B0216,02-22,02-24,2
VENZER HCT,"CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA 16MG + 12,5MG",LIBBS,22IO265,08-22,08-24,2
VENZER,CANDESARTANA CILEXETILA 16MG,LIBBS,22B0256,02-22,02-24,2
VENZER,CANDESARTANA CILEXETILA 16MG,LIBBS,22E0749,05-22,05-24,3
VATIS ,CLORIDRATO DE PROPAFENONA 150MG,LIBBS,22C0226,02-22,02-24,3
VATIS ,CLORIDRATO DE PROPAFENONA 150MG,LIBBS,22F0276,05-22,05-24,2
VENZER,CANDESARTANA CILEXETILA 16MG,LIBBS,22C0077,02-22,02-24,2
VENZER HCT,"CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA 16MG + 12,5MG",LIBBS,22D0025,03-22,03-24,2
VENZER HCT,"CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA 16MG + 12,5MG",LIBBS,22C0037,02-22,02-24,3
VATIS ,CLORIDRATO DE PROPAFENONA 300MG,LIBBS,22C0074,02-22,02-24,1
VATIS ,CLORIDRATO DE PROPAFENONA 300MG,LIBBS,22KO540,11-22,11-24,1
VENZER,CANDESARTANA CILEXETILA 8MG,LIBBS,22C0713,03-22,03-24,1
BHENA,CLORIDRATO DE BANAZEPRIL 10MG,BIOLAB,21102538,12-22,12-25,1
TUNTÁ,CLORIDRATO DE PROPAFENONA 300MG,EUROFARMA ,22080158,07-22,07-24,70
CERAZETTE,DESOGESTREL 75MCG,ORGANON,809953,08-22,08-24,52
BRAMICAR,TELMISARTANA 80MG,EMS,2Y6650,07-22,07-24,14
OFOLATO SOP,L-METILFOLATO DE CÁLCIO,MANTECORO FARMASA,115,09-22,09-24,0
OFOLATO DFER,1000U.I.,MANTECORO FARMASA,2335,11-22,11-24,19
OFOLATO DFER,1000U.I.,MANTECORO FARMASA,2379,12-22,12-24,19
VYNAXA,RIVAROXABANA 20MG,EMS,3C7305,10-22,10-24,2
VYNAXA,RIVAROXABANA 20MG,EMS,3E3336,10-22,10-24,3
TAMARINE KIDS FIBRAS,SABOR MORANGO 10ML,COSMED,Q22D0332,05-22,05-24,33
PROCORALAN,IVABRADINA 5MG,SERVIER,3017865,08-21,08-24,4
D'ORTO,RISEDRONATO,EUROFARMA ,22090134,08-22,08-24,32
DOISKA PLUS,SUPLEMENTO ALIMENTAR,BIOLAB,1074894,05/22,05/24,36
KAMPPI,CLORIDRATO DE MEMANTINA,BIOLAB,1063498,07/2021,07/2024,0
FLY 250,SIMETICONA 250 MG,BIOLAB,1077333,08/22,08/24,0
ATORVASTATINA CALCICA,40 MG,EMS,305790,11/22,11/24,1
ATORVASTATINA CALCICA,20 MG,GERMED,382415,08/22,08/24,3
AZOX,NITAZOXANIDA 20 MG,EUROFARMA,10650,08/22,08/24,79
ADERA D3,VITAMINA D3 6.000,MANTECORP FARMAZA,Q22K0160,10/22,10/24,8
ACOG,RIVAROXOBANA 15 MG,TORRENT,BMT8J001,12/21,11/24,9
DPREV,COLECALCIFEROL 100.000 UI,MYRALIS,530508,07/222,07/24,35
DOSS,COLECALCIFEROL 3.000 UI,BIOLAB,1076197,05/22,05/24,40
ASEA HCT,"ALMERSARTANA MEDOXOMILA + HIDROCLOROTIAZIDA 20 MG + 12,5",SUPERA,800896,06/22,06/24,26
ALTA D,VITAMINA D GOTAS 500 UI,EUROFARMA,4070192,09/22,09/24,30
TAMARINE KIDS,SUPLEMENTO ALIMENTAR,COSMEDIA,Q22F0326,06/22,06/24,84
PRESS PLUS,ANLODIPINO 5MG CLORIDRATO DE BENAZEPRIL 20 MH,BIOLAB,1077331,09/22,09/24,50
VONAU FLASH,ONDANSETRONA 8 MG,BIOLAB,1074359,05/22,05/24,90
BRAMICAR,"TELMISARTANA 40 + HIDROCLOROTIAZIDA 12,5",EMS,2V6461,06/22,06/24,5
BRAMICAR,"TELMISARTANA 40 + HIDROCLOROTIAZIDA 12,5",EMS,2X6820,06/22,06/24,7
BRAMICAR,"TELMISARTANA 40 + HIDROCLOROTIAZIDA 12,5",EMS,2X6820,06/22,06/24,6
BRAMICAR,"TELMISARTANA 40 + HIDROCLOROTIAZIDA 12,5",EMS,2X6821,06/22,06/24,3
BRAMICAR,"TELMISARTANA 40 + HIDROCLOROTIAZIDA 12,5",EMS,3G7501,06/22,06/24,5
TRIPLIXAM,"PERINDOPLRO 10 + INDAPAMINA 2,5 + ANIDIPINO 10 MG",SERVER,704242,06/22,06/25,2
TRIPLIXAM,"PERINDOPLRO 5 + INDAPAMINA 1,25 + ANIDIPINO 5 MG",SERVER,694889,11/21,11/24,5
TRIPLIXAM,"PERINDOPLRO 10 + INDAPAMINA 2,5 + ANIDIPINO 5MG",SERVER,784248,07/22,07/25,2
VYNAXA,NIVAROXABANA 20 MG,EMS,3H7177,07/22,07/24,7
VYNAXA,NIVAROXABANA 15 MG,EMS,3G4737,12/22,12/24,3
VYNAXA,NIVAROXABANA 15 MG,EMS,2YS110,07/22,07/24,8
SANY CAPS,COLECALCIFEROL 5.000 UI VIT D3,ACHE,534065,10/22,10/24,2
RIVACRIST ,NIVAROXABANA 20 MG,ABOUTT,B2200966,03/22,02/25,1
RIVACRIST ,NIVAROXABANA 20 MG,ABOUTT,B2200339,01/22,12/24,10
RITMONORM,CLORIDRATO DE PROPAFENOMA 300 MG,ABOUTT,1184979,05/22,05/25,20
RITMONORM,CLORIDRATO DE PROPAFENOMA 300 MG,ABOUTT,1155805,05/21,05/25,2
RITMONORM,CLORIDRATO DE PROPAFENOMA 300 MG,ABOUTT,1193322,09/22,09/25,4
RITMONORM,CLORIDRATO DE PROPAFENOMA 300 MG,ABOUTT,1159443,06/21,06/24,1
BRASART HCT,"VALSARTANA + HIDROCLOROTIAZIDA 320 + 12,5 MG",EMS,2U4339,04/22,04/24,28
CILOSTAZOL,100 MG,BIOSSINTETICA,2302581,03/23,03/25,4
